City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,San Policarpo,PH,2022-07-27 05:14:43,12.1791,125.5072,84.56,75,96,3.38
211,Roma,US,2022-07-27 05:11:34,43.2128,-75.4557,60.87,93,0,0.0
212,Saint Anthony,US,2022-07-27 05:14:44,45.0205,-93.218,68.02,90,0,6.91
213,Rantepao,ID,2022-07-27 05:14:44,-2.9701,119.8978,76.62,82,70,4.0
214,Lata,PT,2022-07-27 05:14:45,40.1629,-8.3327,54.39,97,14,1.34
215,Cockburn Town,TC,2022-07-27 05:14:46,21.4612,-71.1419,81.39,83,0,18.52
216,Sao Filipe,CV,2022-07-27 05:14:46,14.8961,-24.4956,77.04,85,55,2.75
217,Hamilton,US,2022-07-27 05:11:07,39.1834,-84.5333,72.45,95,40,4.61
218,Preobrazheniye,RU,2022-07-27 05:14:06,42.9019,133.9064,76.41,76,32,3.62
219,Gweta,BW,2022-07-27 05:14:48,-20.1833,25.2333,52.83,48,0,8.75
220,Jackson,US,2022-07-27 05:14:48,42.4165,-122.8345,91.27,29,0,6.91
221,Bambous Virieux,MU,2022-07-27 05:12:43,-20.3428,57.7575,74.21,78,20,5.75
222,Aberdeen,GB,2022-07-27 05:14:49,57.1437,-2.0981,50.76,96,50,1.14
223,Geraldton,AU,2022-07-27 05:07:14,-28.7667,114.6,72.01,49,0,13.8
224,Cayenne,GF,2022-07-27 05:10:39,4.9333,-52.3333,76.08,1,20,0.0
225,Pokhara,NP,2022-07-27 05:15:02,28.2333,83.9833,73.15,94,100,0.94
226,Susangerd,IR,2022-07-27 05:12:40,31.5608,48.1831,99.7,8,56,9.35
227,Khuzdar,PK,2022-07-27 05:15:51,27.7384,66.6434,77.77,71,85,3.83
228,Stornoway,GB,2022-07-27 05:15:52,58.2093,-6.3865,51.93,92,75,2.3
229,Nicoya,CR,2022-07-27 05:15:52,10.1483,-85.452,73.45,95,100,1.52
230,Paamiut,GL,2022-07-27 05:14:04,61.994,-49.6678,41.7,93,60,13.76
231,Sladkovo,RU,2022-07-27 05:15:53,55.5284,70.3385,70.65,80,100,7.54
232,Ambanja,MG,2022-07-27 05:15:54,-13.6833,48.45,72.09,70,33,2.93
233,Kaitangata,NZ,2022-07-27 05:15:55,-46.2817,169.8464,45.46,96,100,9.78
234,Sinnamary,GF,2022-07-27 05:14:20,5.3833,-52.95,77.77,83,29,4.36
235,Naica,MX,2022-07-27 05:15:55,27.85,-105.4833,75.25,50,99,14.58
236,Porto Novo,BJ,2022-07-27 05:15:14,6.4965,2.6036,78.62,89,100,9.24
237,Sitka,US,2022-07-27 05:15:56,57.0531,-135.33,60.69,77,75,14.97
238,Avera,US,2022-07-27 05:06:54,33.194,-82.5271,78.31,70,85,4.25
239,Manitouwadge,CA,2022-07-27 05:15:57,49.1215,-85.8403,55.17,94,100,8.34
240,Acapulco,MX,2022-07-27 05:11:25,16.8634,-99.8901,82.22,78,100,4.61
241,Matamoros,MX,2022-07-27 05:12:12,25.5333,-103.25,77.52,48,96,4.34
242,Mastic Beach,US,2022-07-27 05:15:59,40.7668,-72.8521,74.39,87,0,3.0
243,Port Hardy,CA,2022-07-27 05:11:33,50.6996,-127.4199,60.69,92,29,1.1
244,Royan,FR,2022-07-27 05:16:00,45.6285,-1.0281,61.86,74,1,5.77
