City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Terrace,CA,75.11,overcast clouds,54.5163,-128.6035,Northern Motor Inn
571,Kathua,IN,75.02,overcast clouds,32.3667,75.5167,Avalon Residency
574,Tagusao,PH,82.18,moderate rain,9.1924,117.8141,Caycay future beach resort
577,Edgewater,US,85.12,clear sky,28.9889,-80.9023,Islander Beach Resort
579,Sanmenxia,CN,83.03,clear sky,34.7747,111.1814,Pengzhou Hotel
581,Jining,CN,84.49,broken clouds,35.405,116.5814,Yunhe Star Hotel
592,Gorom-Gorom,BF,80.33,overcast clouds,14.4439,-0.2361,
594,Sola,VU,79.84,scattered clouds,-13.8833,167.55,Leumerus Bungalows
596,Conceicao Do Araguaia,BR,83.77,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
600,Ambulu,ID,77.61,clear sky,-8.345,113.6058,Hotel Ambulu Jember
602,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
603,Sabang,ID,82.31,overcast clouds,5.8933,95.3214,Hotel Citra
606,Puerto Narino,CO,76.41,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
609,Mahibadhoo,MV,81.68,overcast clouds,3.7833,72.9667,Omadhoo Inn
610,Berbera,SO,89.69,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
614,Hengshui,CN,86.97,scattered clouds,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
616,Luba,GQ,76.64,light rain,3.4568,8.5547,
617,Aracati,BR,77.5,few clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
621,Oume,JP,92.97,broken clouds,35.7839,139.2431,KAMENOI HOTEL OME
624,Hirado,JP,84.67,overcast clouds,33.3597,129.5531,Samson Hotel
625,Barra Patuca,HN,79.77,few clouds,15.8,-84.2833,
627,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
629,Manzanillo,CU,79.09,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
638,Calvillo,MX,81.54,overcast clouds,21.85,-102.7167,Hotel La Gloria de Calvillo
639,Alofi,NU,77.36,clear sky,-19.0595,-169.9187,Taloa Heights
644,Douentza,ML,77.95,light rain,14.9951,-2.9517,Ogomono Doumbo
647,Sidi Ali,DZ,75.06,clear sky,36.0998,0.4206,Complexe touristique haje bezine
650,Mozarlandia,BR,75.4,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
657,Erenhot,CN,82.69,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
658,Zenzeli,RU,79.18,clear sky,45.9241,47.0474,
659,Sampit,ID,75.76,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
660,Bontang,ID,76.15,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
662,Shache,CN,75.36,overcast clouds,38.4167,77.2406,Delong Hotel
663,Sibolga,ID,78.58,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
665,Camargo,MX,90.77,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
668,Callaway,US,84.99,few clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
669,Rawah,IQ,90.25,clear sky,34.4816,41.9093,بيت سميع
671,Lethem,GY,75.83,overcast clouds,3.3803,-59.7968,Savannah Inn
672,Suamico,US,77.76,clear sky,44.6319,-88.0393,"Country Inn & Suites by Radisson, Green Bay North, WI"
675,Buala,SB,85.06,light rain,-8.145,159.5921,Maringe Lagoon Lodge
679,Qeshm,IR,88.12,broken clouds,26.9581,56.2719,Qeshm Kavan Hotel
